species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,,Adelie,Gentoo,Chinstrap,,,Adelie,Gentoo,Chinstrap,,Adelie,Gentoo,Chinstrap
Adelie,39.1,18.7,181,3750,male,2007,,181.00,,,,,3750.00,#N/A,#N/A,,1528.81, , 
Adelie,39.5,17.4,186,3800,female,2007,,186.00,,,,,3800.00,#N/A,#N/A,,1560.25, , 
Adelie,40.3,18,195,3250,female,2007,,195.00,,,,,3250.00,#N/A,#N/A,,1624.09, , 
Adelie,NA,NA,NA,NA,NA,2007,,,,,,,NA,#N/A,#N/A,,, , 
Adelie,36.7,19.3,193,3450,female,2007,,193.00,,,,,3450.00,#N/A,#N/A,,1346.89, , 
Adelie,39.3,20.6,190,3650,male,2007,,190.00,,,,,3650.00,#N/A,#N/A,,1544.49, , 
Adelie,38.9,17.8,181,3625,female,2007,,181.00,,,,,3625.00,#N/A,#N/A,,1513.21, , 
Adelie,39.2,19.6,195,4675,male,2007,,195.00,,,,,4675.00,#N/A,#N/A,,1536.64, , 
Adelie,34.1,18.1,193,3475,NA,2007,,193.00,,,,,3475.00,#N/A,#N/A,,1162.81, , 
Adelie,42,20.2,190,4250,NA,2007,,190.00,,,,,4250.00,#N/A,#N/A,,1764, , 
Adelie,37.8,17.1,186,3300,NA,2007,,186.00,,,,,3300.00,#N/A,#N/A,,1428.84, , 
Adelie,37.8,17.3,180,3700,NA,2007,,180.00,,,,,3700.00,#N/A,#N/A,,1428.84, , 
Adelie,41.1,17.6,182,3200,female,2007,,182.00,,,,,3200.00,#N/A,#N/A,,1689.21, , 
Adelie,38.6,21.2,191,3800,male,2007,,191.00,,,,,3800.00,#N/A,#N/A,,1489.96, , 
Adelie,34.6,21.1,198,4400,male,2007,,198.00,,,,,4400.00,#N/A,#N/A,,1197.16, , 
Adelie,36.6,17.8,185,3700,female,2007,,185.00,,,,,3700.00,#N/A,#N/A,,1339.56, , 
Adelie,38.7,19,195,3450,female,2007,,195.00,,,,,3450.00,#N/A,#N/A,,1497.69, , 
Adelie,42.5,20.7,197,4500,male,2007,,197.00,,#N/A,,,4500.00,#N/A,#N/A,,1806.25, , 
Adelie,34.4,18.4,184,3325,female,2007,,184.00,,#N/A,,,3325.00,#N/A,#N/A,,1183.36, , 
Adelie,46,21.5,194,4200,male,2007,,194.00,,#N/A,,,4200.00,#N/A,#N/A,,2116, , 
Adelie,37.8,18.3,174,3400,female,2007,,174.00,,#N/A,,,3400.00,#N/A,#N/A,,1428.84, , 
Adelie,37.7,18.7,180,3600,male,2007,,180.00,,#N/A,,,3600.00,#N/A,#N/A,,1421.29, , 
Adelie,35.9,19.2,189,3800,female,2007,,189.00,,#N/A,,,3800.00,#N/A,#N/A,,1288.81, , 
Adelie,38.2,18.1,185,3950,male,2007,,185.00,,#N/A,,,3950.00,#N/A,#N/A,,1459.24, , 
Adelie,38.8,17.2,180,3800,male,2007,,180.00,,#N/A,,,3800.00,#N/A,#N/A,,1505.44, , 
Adelie,35.3,18.9,187,3800,female,2007,,187.00,,#N/A,,,3800.00,#N/A,#N/A,,1246.09, , 
Adelie,40.6,18.6,183,3550,male,2007,,183.00,,#N/A,,,3550.00,#N/A,#N/A,,1648.36, , 
Adelie,40.5,17.9,187,3200,female,2007,,187.00,,#N/A,,,3200.00,#N/A,#N/A,,1640.25, , 
Adelie,37.9,18.6,172,3150,female,2007,,172.00,,#N/A,,,3150.00,#N/A,#N/A,,1436.41, , 
Adelie,40.5,18.9,180,3950,male,2007,,180.00,,#N/A,,,3950.00,#N/A,#N/A,,1640.25, , 
Adelie,39.5,16.7,178,3250,female,2007,,178.00,,#N/A,,,3250.00,#N/A,#N/A,,1560.25, , 
Adelie,37.2,18.1,178,3900,male,2007,,178.00,,#N/A,,,3900.00,#N/A,#N/A,,1383.84, , 
Adelie,39.5,17.8,188,3300,female,2007,,188.00,,#N/A,,,3300.00,#N/A,#N/A,,1560.25, , 
Adelie,40.9,18.9,184,3900,male,2007,,184.00,,#N/A,,,3900.00,#N/A,#N/A,,1672.81, , 
Adelie,36.4,17,195,3325,female,2007,,195.00,,#N/A,,,3325.00,#N/A,#N/A,,1324.96, , 
Adelie,39.2,21.1,196,4150,male,2007,,196.00,,#N/A,,,4150.00,#N/A,#N/A,,1536.64, , 
Adelie,38.8,20,190,3950,male,2007,,190.00,,#N/A,,,3950.00,#N/A,#N/A,,1505.44, , 
Adelie,42.2,18.5,180,3550,female,2007,,180.00,,#N/A,,,3550.00,#N/A,#N/A,,1780.84, , 
Adelie,37.6,19.3,181,3300,female,2007,,181.00,,#N/A,,,3300.00,#N/A,#N/A,,1413.76, , 
Adelie,39.8,19.1,184,4650,male,2007,,184.00,,#N/A,,,4650.00,#N/A,#N/A,,1584.04, , 
Adelie,36.5,18,182,3150,female,2007,,182.00,,#N/A,,,3150.00,#N/A,#N/A,,1332.25, , 
Adelie,40.8,18.4,195,3900,male,2007,,195.00,,#N/A,,,3900.00,#N/A,#N/A,,1664.64, , 
Adelie,36,18.5,186,3100,female,2007,,186.00,,#N/A,,,3100.00,#N/A,#N/A,,1296, , 
Adelie,44.1,19.7,196,4400,male,2007,,196.00,,#N/A,,,4400.00,#N/A,#N/A,,1944.81, , 
Adelie,37,16.9,185,3000,female,2007,,185.00,,#N/A,,,3000.00,#N/A,#N/A,,1369, , 
Adelie,39.6,18.8,190,4600,male,2007,,190.00,,#N/A,,,4600.00,#N/A,#N/A,,1568.16, , 
Adelie,41.1,19,182,3425,male,2007,,182.00,,#N/A,,,3425.00,#N/A,#N/A,,1689.21, , 
Adelie,37.5,18.9,179,2975,NA,2007,,179.00,,#N/A,,,2975.00,#N/A,#N/A,,1406.25, , 
Adelie,36,17.9,190,3450,female,2007,,190.00,,#N/A,,,3450.00,#N/A,#N/A,,1296, , 
Adelie,42.3,21.2,191,4150,male,2007,,191.00,,#N/A,,,4150.00,#N/A,#N/A,,1789.29, , 
Adelie,39.6,17.7,186,3500,female,2008,,186.00,,#N/A,,,3500.00,#N/A,#N/A,,1568.16, , 
Adelie,40.1,18.9,188,4300,male,2008,,188.00,,#N/A,,,4300.00,#N/A,#N/A,,1608.01, , 
Adelie,35,17.9,190,3450,female,2008,,190.00,,#N/A,,,3450.00,#N/A,#N/A,,1225, , 
Adelie,42,19.5,200,4050,male,2008,,200.00,,#N/A,,,4050.00,#N/A,#N/A,,1764, , 
Adelie,34.5,18.1,187,2900,female,2008,,187.00,,#N/A,,,2900.00,#N/A,#N/A,,1190.25, , 
Adelie,41.4,18.6,191,3700,male,2008,,191.00,,#N/A,,,3700.00,#N/A,#N/A,,1713.96, , 
Adelie,39,17.5,186,3550,female,2008,,186.00,,#N/A,,,3550.00,#N/A,#N/A,,1521, , 
Adelie,40.6,18.8,193,3800,male,2008,,193.00,,#N/A,,,3800.00,#N/A,#N/A,,1648.36, , 
Adelie,36.5,16.6,181,2850,female,2008,,181.00,,#N/A,,,2850.00,#N/A,#N/A,,1332.25, , 
Adelie,37.6,19.1,194,3750,male,2008,,194.00,,#N/A,,,3750.00,#N/A,#N/A,,1413.76, , 
Adelie,35.7,16.9,185,3150,female,2008,,185.00,,#N/A,,,3150.00,#N/A,#N/A,,1274.49, , 
Adelie,41.3,21.1,195,4400,male,2008,,195.00,,#N/A,,,4400.00,#N/A,#N/A,,1705.69, , 
Adelie,37.6,17,185,3600,female,2008,,185.00,,#N/A,,,3600.00,#N/A,#N/A,,1413.76, , 
Adelie,41.1,18.2,192,4050,male,2008,,192.00,,#N/A,,,4050.00,#N/A,#N/A,,1689.21, , 
Adelie,36.4,17.1,184,2850,female,2008,,184.00,,#N/A,,,2850.00,#N/A,#N/A,,1324.96, , 
Adelie,41.6,18,192,3950,male,2008,,192.00,,#N/A,,,3950.00,#N/A,#N/A,,1730.56, , 
Adelie,35.5,16.2,195,3350,female,2008,,195.00,,#N/A,,,3350.00,#N/A,#N/A,,1260.25, , 
Adelie,41.1,19.1,188,4100,male,2008,,188.00,,#N/A,,,4100.00,#N/A,#N/A,,1689.21, , 
Adelie,35.9,16.6,190,3050,female,2008,,190.00,,#N/A,,,3050.00,#N/A,#N/A,,1288.81, , 
Adelie,41.8,19.4,198,4450,male,2008,,198.00,,#N/A,,,4450.00,#N/A,#N/A,,1747.24, , 
Adelie,33.5,19,190,3600,female,2008,,190.00,,#N/A,,,3600.00,#N/A,#N/A,,1122.25, , 
Adelie,39.7,18.4,190,3900,male,2008,,190.00,,#N/A,,,3900.00,#N/A,#N/A,,1576.09, , 
Adelie,39.6,17.2,196,3550,female,2008,,196.00,,#N/A,,,3550.00,#N/A,#N/A,,1568.16, , 
Adelie,45.8,18.9,197,4150,male,2008,,197.00,,#N/A,,,4150.00,#N/A,#N/A,,2097.64, , 
Adelie,35.5,17.5,190,3700,female,2008,,190.00,,#N/A,,,3700.00,#N/A,#N/A,,1260.25, , 
Adelie,42.8,18.5,195,4250,male,2008,,195.00,,#N/A,,,4250.00,#N/A,#N/A,,1831.84, , 
Adelie,40.9,16.8,191,3700,female,2008,,191.00,,#N/A,,,3700.00,#N/A,#N/A,,1672.81, , 
Adelie,37.2,19.4,184,3900,male,2008,,184.00,,#N/A,,,3900.00,#N/A,#N/A,,1383.84, , 
Adelie,36.2,16.1,187,3550,female,2008,,187.00,,#N/A,,,3550.00,#N/A,#N/A,,1310.44, , 
Adelie,42.1,19.1,195,4000,male,2008,,195.00,,#N/A,,,4000.00,#N/A,#N/A,,1772.41, , 
Adelie,34.6,17.2,189,3200,female,2008,,189.00,,#N/A,,,3200.00,#N/A,#N/A,,1197.16, , 
Adelie,42.9,17.6,196,4700,male,2008,,196.00,,#N/A,,,4700.00,#N/A,#N/A,,1840.41, , 
Adelie,36.7,18.8,187,3800,female,2008,,187.00,,#N/A,,,3800.00,#N/A,#N/A,,1346.89, , 
Adelie,35.1,19.4,193,4200,male,2008,,193.00,,#N/A,,,4200.00,#N/A,#N/A,,1232.01, , 
Adelie,37.3,17.8,191,3350,female,2008,,191.00,,#N/A,,,3350.00,#N/A,#N/A,,1391.29, , 
Adelie,41.3,20.3,194,3550,male,2008,,194.00,,#N/A,,,3550.00,#N/A,#N/A,,1705.69, , 
Adelie,36.3,19.5,190,3800,male,2008,,190.00,,#N/A,,,3800.00,#N/A,#N/A,,1317.69, , 
Adelie,36.9,18.6,189,3500,female,2008,,189.00,,#N/A,,,3500.00,#N/A,#N/A,,1361.61, , 
Adelie,38.3,19.2,189,3950,male,2008,,189.00,,#N/A,,,3950.00,#N/A,#N/A,,1466.89, , 
Adelie,38.9,18.8,190,3600,female,2008,,190.00,,#N/A,,,3600.00,#N/A,#N/A,,1513.21, , 
Adelie,35.7,18,202,3550,female,2008,,202.00,,#N/A,,,3550.00,#N/A,#N/A,,1274.49, , 
Adelie,41.1,18.1,205,4300,male,2008,,205.00,,#N/A,,,4300.00,#N/A,#N/A,,1689.21, , 
Adelie,34,17.1,185,3400,female,2008,,185.00,,#N/A,,,3400.00,#N/A,#N/A,,1156, , 
Adelie,39.6,18.1,186,4450,male,2008,,186.00,,#N/A,,,4450.00,#N/A,#N/A,,1568.16, , 
Adelie,36.2,17.3,187,3300,female,2008,,187.00,,#N/A,,,3300.00,#N/A,#N/A,,1310.44, , 
Adelie,40.8,18.9,208,4300,male,2008,,208.00,,#N/A,,,4300.00,#N/A,#N/A,,1664.64, , 
Adelie,38.1,18.6,190,3700,female,2008,,190.00,,#N/A,,,3700.00,#N/A,#N/A,,1451.61, , 
Adelie,40.3,18.5,196,4350,male,2008,,196.00,,#N/A,,,4350.00,#N/A,#N/A,,1624.09, , 
Adelie,33.1,16.1,178,2900,female,2008,,178.00,,#N/A,,,2900.00,#N/A,#N/A,,1095.61, , 
Adelie,43.2,18.5,192,4100,male,2008,,192.00,,#N/A,,,4100.00,#N/A,#N/A,,1866.24, , 
Adelie,35,17.9,192,3725,female,2009,,192.00,,#N/A,,,3725.00,#N/A,#N/A,,1225, , 
Adelie,41,20,203,4725,male,2009,,203.00,,#N/A,,,4725.00,#N/A,#N/A,,1681, , 
Adelie,37.7,16,183,3075,female,2009,,183.00,,#N/A,,,3075.00,#N/A,#N/A,,1421.29, , 
Adelie,37.8,20,190,4250,male,2009,,190.00,,#N/A,,,4250.00,#N/A,#N/A,,1428.84, , 
Adelie,37.9,18.6,193,2925,female,2009,,193.00,,#N/A,,,2925.00,#N/A,#N/A,,1436.41, , 
Adelie,39.7,18.9,184,3550,male,2009,,184.00,,#N/A,,,3550.00,#N/A,#N/A,,1576.09, , 
Adelie,38.6,17.2,199,3750,female,2009,,199.00,,#N/A,,,3750.00,#N/A,#N/A,,1489.96, , 
Adelie,38.2,20,190,3900,male,2009,,190.00,,#N/A,,,3900.00,#N/A,#N/A,,1459.24, , 
Adelie,38.1,17,181,3175,female,2009,,181.00,,#N/A,,,3175.00,#N/A,#N/A,,1451.61, , 
Adelie,43.2,19,197,4775,male,2009,,197.00,,#N/A,,,4775.00,#N/A,#N/A,,1866.24, , 
Adelie,38.1,16.5,198,3825,female,2009,,198.00,,#N/A,,,3825.00,#N/A,#N/A,,1451.61, , 
Adelie,45.6,20.3,191,4600,male,2009,,191.00,,#N/A,,,4600.00,#N/A,#N/A,,2079.36, , 
Adelie,39.7,17.7,193,3200,female,2009,,193.00,,#N/A,,,3200.00,#N/A,#N/A,,1576.09, , 
Adelie,42.2,19.5,197,4275,male,2009,,197.00,,#N/A,,,4275.00,#N/A,#N/A,,1780.84, , 
Adelie,39.6,20.7,191,3900,female,2009,,191.00,,#N/A,,,3900.00,#N/A,#N/A,,1568.16, , 
Adelie,42.7,18.3,196,4075,male,2009,,196.00,,#N/A,,,4075.00,#N/A,#N/A,,1823.29, , 
Adelie,38.6,17,188,2900,female,2009,,188.00,,#N/A,,,2900.00,#N/A,#N/A,,1489.96, , 
Adelie,37.3,20.5,199,3775,male,2009,,199.00,,#N/A,,,3775.00,#N/A,#N/A,,1391.29, , 
Adelie,35.7,17,189,3350,female,2009,,189.00,,#N/A,,,3350.00,#N/A,#N/A,,1274.49, , 
Adelie,41.1,18.6,189,3325,male,2009,,189.00,,#N/A,,,3325.00,#N/A,#N/A,,1689.21, , 
Adelie,36.2,17.2,187,3150,female,2009,,187.00,,#N/A,,,3150.00,#N/A,#N/A,,1310.44, , 
Adelie,37.7,19.8,198,3500,male,2009,,198.00,,#N/A,,,3500.00,#N/A,#N/A,,1421.29, , 
Adelie,40.2,17,176,3450,female,2009,,176.00,,#N/A,,,3450.00,#N/A,#N/A,,1616.04, , 
Adelie,41.4,18.5,202,3875,male,2009,,202.00,,#N/A,,,3875.00,#N/A,#N/A,,1713.96, , 
Adelie,35.2,15.9,186,3050,female,2009,,186.00,,#N/A,,,3050.00,#N/A,#N/A,,1239.04, , 
Adelie,40.6,19,199,4000,male,2009,,199.00,,#N/A,,,4000.00,#N/A,#N/A,,1648.36, , 
Adelie,38.8,17.6,191,3275,female,2009,,191.00,,#N/A,,,3275.00,#N/A,#N/A,,1505.44, , 
Adelie,41.5,18.3,195,4300,male,2009,,195.00,,#N/A,,,4300.00,#N/A,#N/A,,1722.25, , 
Adelie,39,17.1,191,3050,female,2009,,191.00,,#N/A,,,3050.00,#N/A,#N/A,,1521, , 
Adelie,44.1,18,210,4000,male,2009,,210.00,,#N/A,,,4000.00,#N/A,#N/A,,1944.81, , 
Adelie,38.5,17.9,190,3325,female,2009,,190.00,,#N/A,,,3325.00,#N/A,#N/A,,1482.25, , 
Adelie,43.1,19.2,197,3500,male,2009,,197.00,,#N/A,,,3500.00,#N/A,#N/A,,1857.61, , 
Adelie,36.8,18.5,193,3500,female,2009,,193.00,,#N/A,,,3500.00,#N/A,#N/A,,1354.24, , 
Adelie,37.5,18.5,199,4475,male,2009,,199.00,,#N/A,,,4475.00,#N/A,#N/A,,1406.25, , 
Adelie,38.1,17.6,187,3425,female,2009,,187.00,,#N/A,,,3425.00,#N/A,#N/A,,1451.61, , 
Adelie,41.1,17.5,190,3900,male,2009,,190.00,,#N/A,,,3900.00,#N/A,#N/A,,1689.21, , 
Adelie,35.6,17.5,191,3175,female,2009,,191.00,,#N/A,,,3175.00,#N/A,#N/A,,1267.36, , 
Adelie,40.2,20.1,200,3975,male,2009,,200.00,,#N/A,,,3975.00,#N/A,#N/A,,1616.04, , 
Adelie,37,16.5,185,3400,female,2009,,185.00,,#N/A,,,3400.00,#N/A,#N/A,,1369, , 
Adelie,39.7,17.9,193,4250,male,2009,,193.00,,#N/A,,,4250.00,#N/A,#N/A,,1576.09, , 
Adelie,40.2,17.1,193,3400,female,2009,,193.00,,#N/A,,,3400.00,#N/A,#N/A,,1616.04, , 
Adelie,40.6,17.2,187,3475,male,2009,,187.00,,#N/A,,,3475.00,#N/A,#N/A,,1648.36, , 
Adelie,32.1,15.5,188,3050,female,2009,,188.00,,#N/A,,,3050.00,#N/A,#N/A,,1030.41, , 
Adelie,40.7,17,190,3725,male,2009,,190.00,,#N/A,,,3725.00,#N/A,#N/A,,1656.49, , 
Adelie,37.3,16.8,192,3000,female,2009,,192.00,,#N/A,,,3000.00,#N/A,#N/A,,1391.29, , 
Adelie,39,18.7,185,3650,male,2009,,185.00,,#N/A,,,3650.00,#N/A,#N/A,,1521, , 
Adelie,39.2,18.6,190,4250,male,2009,,190.00,,#N/A,,,4250.00,#N/A,#N/A,,1536.64, , 
Adelie,36.6,18.4,184,3475,female,2009,,184.00,,#N/A,,,3475.00,#N/A,#N/A,,1339.56, , 
Adelie,36,17.8,195,3450,female,2009,,195.00,,#N/A,,,3450.00,#N/A,#N/A,,1296, , 
Adelie,37.8,18.1,193,3750,male,2009,,193.00,,#N/A,,,3750.00,#N/A,#N/A,,1428.84, , 
Adelie,36,17.1,187,3700,female,2009,,187.00,,#N/A,,,3700.00,#N/A,#N/A,,1296, , 
Adelie,41.5,18.5,201,4000,male,2009,,201.00,,#N/A,,,4000.00,#N/A,#N/A,,1722.25, , 
Gentoo,46.1,13.2,211,4500,female,2007,,#N/A,211.00,#N/A,,,#N/A,4500.00,#N/A,, ,2125.21, 
Gentoo,50,16.3,230,5700,male,2007,,#N/A,230.00,#N/A,,,#N/A,5700.00,#N/A,, ,2500, 
Gentoo,48.7,14.1,210,4450,female,2007,,#N/A,210.00,#N/A,,,#N/A,4450.00,#N/A,, ,2371.69, 
Gentoo,50,15.2,218,5700,male,2007,,#N/A,218.00,#N/A,,,#N/A,5700.00,#N/A,, ,2500, 
Gentoo,47.6,14.5,215,5400,male,2007,,#N/A,215.00,#N/A,,,#N/A,5400.00,#N/A,, ,2265.76, 
Gentoo,46.5,13.5,210,4550,female,2007,,#N/A,210.00,#N/A,,,#N/A,4550.00,#N/A,, ,2162.25, 
Gentoo,45.4,14.6,211,4800,female,2007,,#N/A,211.00,#N/A,,,#N/A,4800.00,#N/A,, ,2061.16, 
Gentoo,46.7,15.3,219,5200,male,2007,,#N/A,219.00,#N/A,,,#N/A,5200.00,#N/A,, ,2180.89, 
Gentoo,43.3,13.4,209,4400,female,2007,,#N/A,209.00,#N/A,,,#N/A,4400.00,#N/A,, ,1874.89, 
Gentoo,46.8,15.4,215,5150,male,2007,,#N/A,215.00,#N/A,,,#N/A,5150.00,#N/A,, ,2190.24, 
Gentoo,40.9,13.7,214,4650,female,2007,,#N/A,214.00,#N/A,,,#N/A,4650.00,#N/A,, ,1672.81, 
Gentoo,49,16.1,216,5550,male,2007,,#N/A,216.00,#N/A,,,#N/A,5550.00,#N/A,, ,2401, 
Gentoo,45.5,13.7,214,4650,female,2007,,#N/A,214.00,#N/A,,,#N/A,4650.00,#N/A,, ,2070.25, 
Gentoo,48.4,14.6,213,5850,male,2007,,#N/A,213.00,#N/A,,,#N/A,5850.00,#N/A,, ,2342.56, 
Gentoo,45.8,14.6,210,4200,female,2007,,#N/A,210.00,#N/A,,,#N/A,4200.00,#N/A,, ,2097.64, 
Gentoo,49.3,15.7,217,5850,male,2007,,#N/A,217.00,#N/A,,,#N/A,5850.00,#N/A,, ,2430.49, 
Gentoo,42,13.5,210,4150,female,2007,,#N/A,210.00,#N/A,,,#N/A,4150.00,#N/A,, ,1764, 
Gentoo,49.2,15.2,221,6300,male,2007,,#N/A,221.00,#N/A,,,#N/A,6300.00,#N/A,, ,2420.64, 
Gentoo,46.2,14.5,209,4800,female,2007,,#N/A,209.00,#N/A,,,#N/A,4800.00,#N/A,, ,2134.44, 
Gentoo,48.7,15.1,222,5350,male,2007,,#N/A,222.00,#N/A,,,#N/A,5350.00,#N/A,, ,2371.69, 
Gentoo,50.2,14.3,218,5700,male,2007,,#N/A,218.00,#N/A,,,#N/A,5700.00,#N/A,, ,2520.04, 
Gentoo,45.1,14.5,215,5000,female,2007,,#N/A,215.00,#N/A,,,#N/A,5000.00,#N/A,, ,2034.01, 
