species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,,Adelie,Gentoo,Chinstrap,,,Adelie,Gentoo,Chinstrap,,Adelie,Gentoo,Chinstrap
Gentoo,46.5,14.5,213,4400,female,2007,,#N/A,213.00,#N/A,,,#N/A,4400.00,#N/A,, ,2162.25, 
Gentoo,46.3,15.8,215,5050,male,2007,,#N/A,215.00,#N/A,,,#N/A,5050.00,#N/A,, ,2143.69, 
Gentoo,42.9,13.1,215,5000,female,2007,,#N/A,215.00,#N/A,,,#N/A,5000.00,#N/A,, ,1840.41, 
Gentoo,46.1,15.1,215,5100,male,2007,,#N/A,215.00,#N/A,,,#N/A,5100.00,#N/A,, ,2125.21, 
Gentoo,44.5,14.3,216,4100,NA,2007,,#N/A,216.00,#N/A,,,#N/A,4100.00,#N/A,, ,1980.25, 
Gentoo,47.8,15,215,5650,male,2007,,#N/A,215.00,#N/A,,,#N/A,5650.00,#N/A,, ,2284.84, 
Gentoo,48.2,14.3,210,4600,female,2007,,#N/A,210.00,#N/A,,,#N/A,4600.00,#N/A,, ,2323.24, 
Gentoo,50,15.3,220,5550,male,2007,,#N/A,220.00,#N/A,,,#N/A,5550.00,#N/A,, ,2500, 
Gentoo,47.3,15.3,222,5250,male,2007,,#N/A,222.00,#N/A,,,#N/A,5250.00,#N/A,, ,2237.29, 
Gentoo,42.8,14.2,209,4700,female,2007,,#N/A,209.00,#N/A,,,#N/A,4700.00,#N/A,, ,1831.84, 
Gentoo,45.1,14.5,207,5050,female,2007,,#N/A,207.00,#N/A,,,#N/A,5050.00,#N/A,, ,2034.01, 
Gentoo,59.6,17,230,6050,male,2007,,#N/A,230.00,#N/A,,,#N/A,6050.00,#N/A,, ,3552.16, 
Gentoo,49.1,14.8,220,5150,female,2008,,#N/A,220.00,#N/A,,,#N/A,5150.00,#N/A,, ,2410.81, 
Gentoo,48.4,16.3,220,5400,male,2008,,#N/A,220.00,#N/A,,,#N/A,5400.00,#N/A,, ,2342.56, 
Gentoo,42.6,13.7,213,4950,female,2008,,#N/A,213.00,#N/A,,,#N/A,4950.00,#N/A,, ,1814.76, 
Gentoo,44.4,17.3,219,5250,male,2008,,#N/A,219.00,#N/A,,,#N/A,5250.00,#N/A,, ,1971.36, 
Gentoo,44,13.6,208,4350,female,2008,,#N/A,208.00,#N/A,,,#N/A,4350.00,#N/A,, ,1936, 
Gentoo,48.7,15.7,208,5350,male,2008,,#N/A,208.00,#N/A,,,#N/A,5350.00,#N/A,, ,2371.69, 
Gentoo,42.7,13.7,208,3950,female,2008,,#N/A,208.00,#N/A,,,#N/A,3950.00,#N/A,, ,1823.29, 
Gentoo,49.6,16,225,5700,male,2008,,#N/A,225.00,#N/A,,,#N/A,5700.00,#N/A,, ,2460.16, 
Gentoo,45.3,13.7,210,4300,female,2008,,#N/A,210.00,#N/A,,,#N/A,4300.00,#N/A,, ,2052.09, 
Gentoo,49.6,15,216,4750,male,2008,,#N/A,216.00,#N/A,,,#N/A,4750.00,#N/A,, ,2460.16, 
Gentoo,50.5,15.9,222,5550,male,2008,,#N/A,222.00,#N/A,,,#N/A,5550.00,#N/A,, ,2550.25, 
Gentoo,43.6,13.9,217,4900,female,2008,,#N/A,217.00,#N/A,,,#N/A,4900.00,#N/A,, ,1900.96, 
Gentoo,45.5,13.9,210,4200,female,2008,,#N/A,210.00,#N/A,,,#N/A,4200.00,#N/A,, ,2070.25, 
Gentoo,50.5,15.9,225,5400,male,2008,,#N/A,225.00,#N/A,,,#N/A,5400.00,#N/A,, ,2550.25, 
Gentoo,44.9,13.3,213,5100,female,2008,,#N/A,213.00,#N/A,,,#N/A,5100.00,#N/A,, ,2016.01, 
Gentoo,45.2,15.8,215,5300,male,2008,,#N/A,215.00,#N/A,,,#N/A,5300.00,#N/A,, ,2043.04, 
Gentoo,46.6,14.2,210,4850,female,2008,,#N/A,210.00,#N/A,,,#N/A,4850.00,#N/A,, ,2171.56, 
Gentoo,48.5,14.1,220,5300,male,2008,,#N/A,220.00,#N/A,,,#N/A,5300.00,#N/A,, ,2352.25, 
Gentoo,45.1,14.4,210,4400,female,2008,,#N/A,210.00,#N/A,,,#N/A,4400.00,#N/A,, ,2034.01, 
Gentoo,50.1,15,225,5000,male,2008,,#N/A,225.00,#N/A,,,#N/A,5000.00,#N/A,, ,2510.01, 
Gentoo,46.5,14.4,217,4900,female,2008,,#N/A,217.00,#N/A,,,#N/A,4900.00,#N/A,, ,2162.25, 
Gentoo,45,15.4,220,5050,male,2008,,#N/A,220.00,#N/A,,,#N/A,5050.00,#N/A,, ,2025, 
Gentoo,43.8,13.9,208,4300,female,2008,,#N/A,208.00,#N/A,,,#N/A,4300.00,#N/A,, ,1918.44, 
Gentoo,45.5,15,220,5000,male,2008,,#N/A,220.00,#N/A,,,#N/A,5000.00,#N/A,, ,2070.25, 
Gentoo,43.2,14.5,208,4450,female,2008,,#N/A,208.00,#N/A,,,#N/A,4450.00,#N/A,, ,1866.24, 
Gentoo,50.4,15.3,224,5550,male,2008,,#N/A,224.00,#N/A,,,#N/A,5550.00,#N/A,, ,2540.16, 
Gentoo,45.3,13.8,208,4200,female,2008,,#N/A,208.00,#N/A,,,#N/A,4200.00,#N/A,, ,2052.09, 
Gentoo,46.2,14.9,221,5300,male,2008,,#N/A,221.00,#N/A,,,#N/A,5300.00,#N/A,, ,2134.44, 
Gentoo,45.7,13.9,214,4400,female,2008,,#N/A,214.00,#N/A,,,#N/A,4400.00,#N/A,, ,2088.49, 
Gentoo,54.3,15.7,231,5650,male,2008,,#N/A,231.00,#N/A,,,#N/A,5650.00,#N/A,, ,2948.49, 
Gentoo,45.8,14.2,219,4700,female,2008,,#N/A,219.00,#N/A,,,#N/A,4700.00,#N/A,, ,2097.64, 
Gentoo,49.8,16.8,230,5700,male,2008,,#N/A,230.00,#N/A,,,#N/A,5700.00,#N/A,, ,2480.04, 
Gentoo,46.2,14.4,214,4650,NA,2008,,#N/A,214.00,#N/A,,,#N/A,4650.00,#N/A,, ,2134.44, 
Gentoo,49.5,16.2,229,5800,male,2008,,#N/A,229.00,#N/A,,,#N/A,5800.00,#N/A,, ,2450.25, 
Gentoo,43.5,14.2,220,4700,female,2008,,#N/A,220.00,#N/A,,,#N/A,4700.00,#N/A,, ,1892.25, 
Gentoo,50.7,15,223,5550,male,2008,,#N/A,223.00,#N/A,,,#N/A,5550.00,#N/A,, ,2570.49, 
Gentoo,47.7,15,216,4750,female,2008,,#N/A,216.00,#N/A,,,#N/A,4750.00,#N/A,, ,2275.29, 
Gentoo,46.4,15.6,221,5000,male,2008,,#N/A,221.00,#N/A,,,#N/A,5000.00,#N/A,, ,2152.96, 
Gentoo,48.2,15.6,221,5100,male,2008,,#N/A,221.00,#N/A,,,#N/A,5100.00,#N/A,, ,2323.24, 
Gentoo,46.5,14.8,217,5200,female,2008,,#N/A,217.00,#N/A,,,#N/A,5200.00,#N/A,, ,2162.25, 
Gentoo,46.4,15,216,4700,female,2008,,#N/A,216.00,#N/A,,,#N/A,4700.00,#N/A,, ,2152.96, 
Gentoo,48.6,16,230,5800,male,2008,,#N/A,230.00,#N/A,,,#N/A,5800.00,#N/A,, ,2361.96, 
Gentoo,47.5,14.2,209,4600,female,2008,,#N/A,209.00,#N/A,,,#N/A,4600.00,#N/A,, ,2256.25, 
Gentoo,51.1,16.3,220,6000,male,2008,,#N/A,220.00,#N/A,,,#N/A,6000.00,#N/A,, ,2611.21, 
Gentoo,45.2,13.8,215,4750,female,2008,,#N/A,215.00,#N/A,,,#N/A,4750.00,#N/A,, ,2043.04, 
Gentoo,45.2,16.4,223,5950,male,2008,,#N/A,223.00,#N/A,,,#N/A,5950.00,#N/A,, ,2043.04, 
Gentoo,49.1,14.5,212,4625,female,2009,,#N/A,212.00,#N/A,,,#N/A,4625.00,#N/A,, ,2410.81, 
Gentoo,52.5,15.6,221,5450,male,2009,,#N/A,221.00,#N/A,,,#N/A,5450.00,#N/A,, ,2756.25, 
Gentoo,47.4,14.6,212,4725,female,2009,,#N/A,212.00,#N/A,,,#N/A,4725.00,#N/A,, ,2246.76, 
Gentoo,50,15.9,224,5350,male,2009,,#N/A,224.00,#N/A,,,#N/A,5350.00,#N/A,, ,2500, 
Gentoo,44.9,13.8,212,4750,female,2009,,#N/A,212.00,#N/A,,,#N/A,4750.00,#N/A,, ,2016.01, 
Gentoo,50.8,17.3,228,5600,male,2009,,#N/A,228.00,#N/A,,,#N/A,5600.00,#N/A,, ,2580.64, 
Gentoo,43.4,14.4,218,4600,female,2009,,#N/A,218.00,#N/A,,,#N/A,4600.00,#N/A,, ,1883.56, 
Gentoo,51.3,14.2,218,5300,male,2009,,#N/A,218.00,#N/A,,,#N/A,5300.00,#N/A,, ,2631.69, 
Gentoo,47.5,14,212,4875,female,2009,,#N/A,212.00,#N/A,,,#N/A,4875.00,#N/A,, ,2256.25, 
Gentoo,52.1,17,230,5550,male,2009,,#N/A,230.00,#N/A,,,#N/A,5550.00,#N/A,, ,2714.41, 
Gentoo,47.5,15,218,4950,female,2009,,#N/A,218.00,#N/A,,,#N/A,4950.00,#N/A,, ,2256.25, 
Gentoo,52.2,17.1,228,5400,male,2009,,#N/A,228.00,#N/A,,,#N/A,5400.00,#N/A,, ,2724.84, 
Gentoo,45.5,14.5,212,4750,female,2009,,#N/A,212.00,#N/A,,,#N/A,4750.00,#N/A,, ,2070.25, 
Gentoo,49.5,16.1,224,5650,male,2009,,#N/A,224.00,#N/A,,,#N/A,5650.00,#N/A,, ,2450.25, 
Gentoo,44.5,14.7,214,4850,female,2009,,#N/A,214.00,#N/A,,,#N/A,4850.00,#N/A,, ,1980.25, 
Gentoo,50.8,15.7,226,5200,male,2009,,#N/A,226.00,#N/A,,,#N/A,5200.00,#N/A,, ,2580.64, 
Gentoo,49.4,15.8,216,4925,male,2009,,#N/A,216.00,#N/A,,,#N/A,4925.00,#N/A,, ,2440.36, 
Gentoo,46.9,14.6,222,4875,female,2009,,#N/A,222.00,#N/A,,,#N/A,4875.00,#N/A,, ,2199.61, 
Gentoo,48.4,14.4,203,4625,female,2009,,#N/A,203.00,#N/A,,,#N/A,4625.00,#N/A,, ,2342.56, 
Gentoo,51.1,16.5,225,5250,male,2009,,#N/A,225.00,#N/A,,,#N/A,5250.00,#N/A,, ,2611.21, 
Gentoo,48.5,15,219,4850,female,2009,,#N/A,219.00,#N/A,,,#N/A,4850.00,#N/A,, ,2352.25, 
Gentoo,55.9,17,228,5600,male,2009,,#N/A,228.00,#N/A,,,#N/A,5600.00,#N/A,, ,3124.81, 
Gentoo,47.2,15.5,215,4975,female,2009,,#N/A,215.00,#N/A,,,#N/A,4975.00,#N/A,, ,2227.84, 
Gentoo,49.1,15,228,5500,male,2009,,#N/A,228.00,#N/A,,,#N/A,5500.00,#N/A,, ,2410.81, 
Gentoo,47.3,13.8,216,4725,NA,2009,,#N/A,216.00,#N/A,,,#N/A,4725.00,#N/A,, ,2237.29, 
Gentoo,46.8,16.1,215,5500,male,2009,,#N/A,215.00,#N/A,,,#N/A,5500.00,#N/A,, ,2190.24, 
Gentoo,41.7,14.7,210,4700,female,2009,,#N/A,210.00,#N/A,,,#N/A,4700.00,#N/A,, ,1738.89, 
Gentoo,53.4,15.8,219,5500,male,2009,,#N/A,219.00,#N/A,,,#N/A,5500.00,#N/A,, ,2851.56, 
Gentoo,43.3,14,208,4575,female,2009,,#N/A,208.00,#N/A,,,#N/A,4575.00,#N/A,, ,1874.89, 
Gentoo,48.1,15.1,209,5500,male,2009,,#N/A,209.00,#N/A,,,#N/A,5500.00,#N/A,, ,2313.61, 
Gentoo,50.5,15.2,216,5000,female,2009,,#N/A,216.00,#N/A,,,#N/A,5000.00,#N/A,, ,2550.25, 
Gentoo,49.8,15.9,229,5950,male,2009,,#N/A,229.00,#N/A,,,#N/A,5950.00,#N/A,, ,2480.04, 
Gentoo,43.5,15.2,213,4650,female,2009,,#N/A,213.00,#N/A,,,#N/A,4650.00,#N/A,, ,1892.25, 
Gentoo,51.5,16.3,230,5500,male,2009,,#N/A,230.00,#N/A,,,#N/A,5500.00,#N/A,, ,2652.25, 
Gentoo,46.2,14.1,217,4375,female,2009,,#N/A,217.00,#N/A,,,#N/A,4375.00,#N/A,, ,2134.44, 
Gentoo,55.1,16,230,5850,male,2009,,#N/A,230.00,#N/A,,,#N/A,5850.00,#N/A,, ,3036.01, 
Gentoo,44.5,15.7,217,4875,NA,2009,,#N/A,217.00,#N/A,,,#N/A,4875.00,#N/A,, ,1980.25, 
Gentoo,48.8,16.2,222,6000,male,2009,,#N/A,222.00,#N/A,,,#N/A,6000.00,#N/A,, ,2381.44, 
Gentoo,47.2,13.7,214,4925,female,2009,,#N/A,214.00,#N/A,,,#N/A,4925.00,#N/A,, ,2227.84, 
Gentoo,NA,NA,NA,NA,NA,2009,,#N/A,,,,,#N/A,NA,#N/A,, ,, 
Gentoo,46.8,14.3,215,4850,female,2009,,#N/A,215.00,,,,#N/A,4850.00,#N/A,, ,0.936, 
Gentoo,50.4,15.7,222,5750,male,2009,,#N/A,222.00,,,,#N/A,5750.00,#N/A,, ,1.008, 
Gentoo,45.2,14.8,212,5200,female,2009,,#N/A,212.00,,,,#N/A,5200.00,#N/A,, ,0.904, 
Gentoo,49.9,16.1,213,5400,male,2009,,#N/A,213.00,,,,#N/A,5400.00,#N/A,, ,0.998, 
Chinstrap,46.5,17.9,192,3500,female,2007,,#N/A,,192.00,,,#N/A,#N/A,3500.00,, , ,2162.25
Chinstrap,50,19.5,196,3900,male,2007,,#N/A,,196.00,,,#N/A,#N/A,3900.00,, , ,2500
Chinstrap,51.3,19.2,193,3650,male,2007,,#N/A,,193.00,,,#N/A,#N/A,3650.00,, , ,2631.69
Chinstrap,45.4,18.7,188,3525,female,2007,,#N/A,,188.00,,,#N/A,#N/A,3525.00,, , ,2061.16
Chinstrap,52.7,19.8,197,3725,male,2007,,#N/A,,197.00,,,#N/A,#N/A,3725.00,, , ,2777.29
Chinstrap,45.2,17.8,198,3950,female,2007,,#N/A,,198.00,,,#N/A,#N/A,3950.00,, , ,2043.04
Chinstrap,46.1,18.2,178,3250,female,2007,,#N/A,,178.00,,,#N/A,#N/A,3250.00,, , ,2125.21
Chinstrap,51.3,18.2,197,3750,male,2007,,#N/A,,197.00,,,#N/A,#N/A,3750.00,, , ,2631.69
Chinstrap,46,18.9,195,4150,female,2007,,#N/A,,195.00,,,#N/A,#N/A,4150.00,, , ,2116
Chinstrap,51.3,19.9,198,3700,male,2007,,#N/A,,198.00,,,#N/A,#N/A,3700.00,, , ,2631.69
Chinstrap,46.6,17.8,193,3800,female,2007,,#N/A,,193.00,,,#N/A,#N/A,3800.00,, , ,2171.56
Chinstrap,51.7,20.3,194,3775,male,2007,,#N/A,,194.00,,,#N/A,#N/A,3775.00,, , ,2672.89
Chinstrap,47,17.3,185,3700,female,2007,,#N/A,,185.00,,,#N/A,#N/A,3700.00,, , ,2209
Chinstrap,52,18.1,201,4050,male,2007,,#N/A,,201.00,,,#N/A,#N/A,4050.00,, , ,2704
Chinstrap,45.9,17.1,190,3575,female,2007,,#N/A,,190.00,,,#N/A,#N/A,3575.00,, , ,2106.81
Chinstrap,50.5,19.6,201,4050,male,2007,,#N/A,,201.00,,,#N/A,#N/A,4050.00,, , ,2550.25
Chinstrap,50.3,20,197,3300,male,2007,,#N/A,,197.00,,,#N/A,#N/A,3300.00,, , ,2530.09
Chinstrap,58,17.8,181,3700,female,2007,,#N/A,,181.00,,,#N/A,#N/A,3700.00,, , ,3364
Chinstrap,46.4,18.6,190,3450,female,2007,,#N/A,,190.00,,,#N/A,#N/A,3450.00,, , ,2152.96
Chinstrap,49.2,18.2,195,4400,male,2007,,#N/A,,195.00,,,#N/A,#N/A,4400.00,, , ,2420.64
Chinstrap,42.4,17.3,181,3600,female,2007,,#N/A,,181.00,,,#N/A,#N/A,3600.00,, , ,1797.76
Chinstrap,48.5,17.5,191,3400,male,2007,,#N/A,,191.00,,,#N/A,#N/A,3400.00,, , ,2352.25
Chinstrap,43.2,16.6,187,2900,female,2007,,#N/A,,187.00,,,#N/A,#N/A,2900.00,, , ,1866.24
Chinstrap,50.6,19.4,193,3800,male,2007,,#N/A,,193.00,,,#N/A,#N/A,3800.00,, , ,2560.36
Chinstrap,46.7,17.9,195,3300,female,2007,,#N/A,,195.00,,,#N/A,#N/A,3300.00,, , ,2180.89
Chinstrap,52,19,197,4150,male,2007,,#N/A,,197.00,,,#N/A,#N/A,4150.00,, , ,2704
Chinstrap,50.5,18.4,200,3400,female,2008,,#N/A,,200.00,,,#N/A,#N/A,3400.00,, , ,2550.25
Chinstrap,49.5,19,200,3800,male,2008,,#N/A,,200.00,,,#N/A,#N/A,3800.00,, , ,2450.25
Chinstrap,46.4,17.8,191,3700,female,2008,,#N/A,,191.00,,,#N/A,#N/A,3700.00,, , ,2152.96
Chinstrap,52.8,20,205,4550,male,2008,,#N/A,,205.00,,,#N/A,#N/A,4550.00,, , ,2787.84
Chinstrap,40.9,16.6,187,3200,female,2008,,#N/A,,187.00,,,#N/A,#N/A,3200.00,, , ,1672.81
Chinstrap,54.2,20.8,201,4300,male,2008,,#N/A,,201.00,,,#N/A,#N/A,4300.00,, , ,2937.64
Chinstrap,42.5,16.7,187,3350,female,2008,,#N/A,,187.00,,,#N/A,#N/A,3350.00,, , ,1806.25
Chinstrap,51,18.8,203,4100,male,2008,,#N/A,,203.00,,,#N/A,#N/A,4100.00,, , ,2601
Chinstrap,49.7,18.6,195,3600,male,2008,,#N/A,,195.00,,,#N/A,#N/A,3600.00,, , ,2470.09
Chinstrap,47.5,16.8,199,3900,female,2008,,#N/A,,199.00,,,#N/A,#N/A,3900.00,, , ,2256.25
Chinstrap,47.6,18.3,195,3850,female,2008,,#N/A,,195.00,,,#N/A,#N/A,3850.00,, , ,2265.76
Chinstrap,52,20.7,210,4800,male,2008,,#N/A,,210.00,,,#N/A,#N/A,4800.00,, , ,2704
Chinstrap,46.9,16.6,192,2700,female,2008,,#N/A,,192.00,,,#N/A,#N/A,2700.00,, , ,2199.61
Chinstrap,53.5,19.9,205,4500,male,2008,,#N/A,,205.00,,,#N/A,#N/A,4500.00,, , ,2862.25
Chinstrap,49,19.5,210,3950,male,2008,,#N/A,,210.00,,,#N/A,#N/A,3950.00,, , ,2401
Chinstrap,46.2,17.5,187,3650,female,2008,,#N/A,,187.00,,,#N/A,#N/A,3650.00,, , ,2134.44
Chinstrap,50.9,19.1,196,3550,male,2008,,#N/A,,196.00,,,#N/A,#N/A,3550.00,, , ,2590.81
Chinstrap,45.5,17,196,3500,female,2008,,#N/A,,196.00,,,#N/A,#N/A,3500.00,, , ,2070.25
Chinstrap,50.9,17.9,196,3675,female,2009,,#N/A,,196.00,,,#N/A,#N/A,3675.00,, , ,2590.81
Chinstrap,50.8,18.5,201,4450,male,2009,,#N/A,,201.00,,,#N/A,#N/A,4450.00,, , ,2580.64
Chinstrap,50.1,17.9,190,3400,female,2009,,#N/A,,190.00,,,#N/A,#N/A,3400.00,, , ,2510.01
Chinstrap,49,19.6,212,4300,male,2009,,#N/A,,212.00,,,#N/A,#N/A,4300.00,, , ,2401
Chinstrap,51.5,18.7,187,3250,male,2009,,#N/A,,187.00,,,#N/A,#N/A,3250.00,, , ,2652.25
Chinstrap,49.8,17.3,198,3675,female,2009,,#N/A,,198.00,,,#N/A,#N/A,3675.00,, , ,2480.04
Chinstrap,48.1,16.4,199,3325,female,2009,,#N/A,,199.00,,,#N/A,#N/A,3325.00,, , ,2313.61
Chinstrap,51.4,19,201,3950,male,2009,,#N/A,,201.00,,,#N/A,#N/A,3950.00,, , ,2641.96
Chinstrap,45.7,17.3,193,3600,female,2009,,#N/A,,193.00,,,#N/A,#N/A,3600.00,, , ,2088.49
Chinstrap,50.7,19.7,203,4050,male,2009,,#N/A,,203.00,,,#N/A,#N/A,4050.00,, , ,2570.49
Chinstrap,42.5,17.3,187,3350,female,2009,,#N/A,,187.00,,,#N/A,#N/A,3350.00,, , ,1806.25
Chinstrap,52.2,18.8,197,3450,male,2009,,#N/A,,197.00,,,#N/A,#N/A,3450.00,, , ,2724.84
Chinstrap,45.2,16.6,191,3250,female,2009,,#N/A,,191.00,,,#N/A,#N/A,3250.00,, , ,2043.04
Chinstrap,49.3,19.9,203,4050,male,2009,,#N/A,,203.00,,,#N/A,#N/A,4050.00,, , ,2430.49
Chinstrap,50.2,18.8,202,3800,male,2009,,#N/A,,202.00,,,#N/A,#N/A,3800.00,, , ,2520.04
Chinstrap,45.6,19.4,194,3525,female,2009,,#N/A,,194.00,,,#N/A,#N/A,3525.00,, , ,2079.36
Chinstrap,51.9,19.5,206,3950,male,2009,,#N/A,,206.00,,,#N/A,#N/A,3950.00,, , ,2693.61
Chinstrap,46.8,16.5,189,3650,female,2009,,#N/A,,189.00,,,#N/A,#N/A,3650.00,, , ,2190.24
Chinstrap,45.7,17,195,3650,female,2009,,#N/A,,195.00,,,#N/A,#N/A,3650.00,, , ,2088.49
Chinstrap,55.8,19.8,207,4000,male,2009,,#N/A,,207.00,,,#N/A,#N/A,4000.00,, , ,3113.64
Chinstrap,43.5,18.1,202,3400,female,2009,,#N/A,,202.00,,,#N/A,#N/A,3400.00,, , ,1892.25
Chinstrap,49.6,18.2,193,3775,male,2009,,#N/A,,193.00,,,#N/A,#N/A,3775.00,, , ,2460.16
Chinstrap,50.8,19,210,4100,male,2009,,#N/A,,210.00,,,#N/A,#N/A,4100.00,, , ,2580.64
Chinstrap,50.2,18.7,198,3775,female,2009,,#N/A,,198.00,,,#N/A,#N/A,3775.00,, , ,2520.04
