,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,bill_length_mm,Adelie,Gentoo,Chinstrap,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Adelie,Torgersen,39.5,17.4,186,3800,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Adelie,Torgersen,40.3,18,195,3250,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Adelie,Torgersen,36.7,19.3,193,3450,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adelie,Torgersen,39.3,20.6,190,3650,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adelie,Torgersen,38.9,17.8,181,3625,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adelie,Torgersen,39.2,19.6,195,4675,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Adelie,Torgersen,42,20.2,190,4250,NA,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Adelie,Torgersen,41.1,17.6,182,3200,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Adelie,Torgersen,38.6,21.2,191,3800,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Adelie,Torgersen,34.6,21.1,198,4400,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Adelie,Torgersen,36.6,17.8,185,3700,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Adelie,Torgersen,38.7,19,195,3450,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Adelie,Torgersen,42.5,20.7,197,4500,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Adelie,Torgersen,34.4,18.4,184,3325,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Adelie,Torgersen,46,21.5,194,4200,male,2007,50,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Adelie,Biscoe,37.8,18.3,174,3400,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Adelie,Biscoe,37.7,18.7,180,3600,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Adelie,Biscoe,35.9,19.2,189,3800,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Adelie,Biscoe,38.2,18.1,185,3950,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Adelie,Biscoe,38.8,17.2,180,3800,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Adelie,Biscoe,35.3,18.9,187,3800,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Adelie,Biscoe,40.6,18.6,183,3550,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Adelie,Biscoe,40.5,17.9,187,3200,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Adelie,Biscoe,37.9,18.6,172,3150,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Adelie,Biscoe,40.5,18.9,180,3950,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Adelie,Dream,39.5,16.7,178,3250,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Adelie,Dream,37.2,18.1,178,3900,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Adelie,Dream,39.5,17.8,188,3300,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Adelie,Dream,40.9,18.9,184,3900,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Adelie,Dream,36.4,17,195,3325,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Adelie,Dream,39.2,21.1,196,4150,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Adelie,Dream,38.8,20,190,3950,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Adelie,Dream,42.2,18.5,180,3550,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Adelie,Dream,37.6,19.3,181,3300,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Adelie,Dream,39.8,19.1,184,4650,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Adelie,Dream,36.5,18,182,3150,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Adelie,Dream,40.8,18.4,195,3900,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Adelie,Dream,36,18.5,186,3100,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Adelie,Dream,44.1,19.7,196,4400,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Adelie,Dream,37,16.9,185,3000,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Adelie,Dream,39.6,18.8,190,4600,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Adelie,Dream,41.1,19,182,3425,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Adelie,Dream,37.5,18.9,179,2975,NA,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Adelie,Dream,36,17.9,190,3450,female,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Adelie,Dream,42.3,21.2,191,4150,male,2007,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Adelie,Biscoe,39.6,17.7,186,3500,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Adelie,Biscoe,40.1,18.9,188,4300,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Adelie,Biscoe,35,17.9,190,3450,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Adelie,Biscoe,42,19.5,200,4050,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Adelie,Biscoe,34.5,18.1,187,2900,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Adelie,Biscoe,41.4,18.6,191,3700,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Adelie,Biscoe,39,17.5,186,3550,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Adelie,Biscoe,40.6,18.8,193,3800,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Adelie,Biscoe,36.5,16.6,181,2850,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Adelie,Biscoe,37.6,19.1,194,3750,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Adelie,Biscoe,35.7,16.9,185,3150,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Adelie,Biscoe,41.3,21.1,195,4400,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Adelie,Biscoe,37.6,17,185,3600,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Adelie,Biscoe,41.1,18.2,192,4050,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Adelie,Biscoe,36.4,17.1,184,2850,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Adelie,Biscoe,41.6,18,192,3950,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Adelie,Biscoe,35.5,16.2,195,3350,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Adelie,Biscoe,41.1,19.1,188,4100,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Adelie,Torgersen,35.9,16.6,190,3050,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Adelie,Torgersen,41.8,19.4,198,4450,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Adelie,Torgersen,33.5,19,190,3600,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Adelie,Torgersen,39.7,18.4,190,3900,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Adelie,Torgersen,39.6,17.2,196,3550,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Adelie,Torgersen,45.8,18.9,197,4150,male,2008,50,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Adelie,Torgersen,35.5,17.5,190,3700,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Adelie,Torgersen,42.8,18.5,195,4250,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Adelie,Torgersen,40.9,16.8,191,3700,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Adelie,Torgersen,37.2,19.4,184,3900,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Adelie,Torgersen,36.2,16.1,187,3550,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Adelie,Torgersen,42.1,19.1,195,4000,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Adelie,Torgersen,34.6,17.2,189,3200,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Adelie,Torgersen,42.9,17.6,196,4700,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Adelie,Torgersen,36.7,18.8,187,3800,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Adelie,Torgersen,35.1,19.4,193,4200,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Adelie,Dream,37.3,17.8,191,3350,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Adelie,Dream,41.3,20.3,194,3550,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Adelie,Dream,36.3,19.5,190,3800,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Adelie,Dream,36.9,18.6,189,3500,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Adelie,Dream,38.3,19.2,189,3950,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Adelie,Dream,38.9,18.8,190,3600,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Adelie,Dream,35.7,18,202,3550,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Adelie,Dream,41.1,18.1,205,4300,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Adelie,Dream,34,17.1,185,3400,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Adelie,Dream,39.6,18.1,186,4450,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Adelie,Dream,36.2,17.3,187,3300,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Adelie,Dream,40.8,18.9,208,4300,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Adelie,Dream,38.1,18.6,190,3700,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Adelie,Dream,40.3,18.5,196,4350,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Adelie,Dream,33.1,16.1,178,2900,female,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Adelie,Dream,43.2,18.5,192,4100,male,2008,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Adelie,Biscoe,35,17.9,192,3725,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Adelie,Biscoe,41,20,203,4725,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Adelie,Biscoe,37.7,16,183,3075,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Adelie,Biscoe,37.8,20,190,4250,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Adelie,Biscoe,37.9,18.6,193,2925,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Adelie,Biscoe,39.7,18.9,184,3550,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Adelie,Biscoe,38.6,17.2,199,3750,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Adelie,Biscoe,38.2,20,190,3900,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Adelie,Biscoe,38.1,17,181,3175,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Adelie,Biscoe,43.2,19,197,4775,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Adelie,Biscoe,38.1,16.5,198,3825,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009,50,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Adelie,Biscoe,39.7,17.7,193,3200,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Adelie,Biscoe,39.6,20.7,191,3900,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Adelie,Torgersen,38.6,17,188,2900,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Adelie,Torgersen,35.7,17,189,3350,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Adelie,Torgersen,40.2,17,176,3450,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Adelie,Torgersen,40.6,19,199,4000,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Adelie,Torgersen,39,17.1,191,3050,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Adelie,Torgersen,44.1,18,210,4000,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Adelie,Dream,36.8,18.5,193,3500,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Adelie,Dream,37.5,18.5,199,4475,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Adelie,Dream,38.1,17.6,187,3425,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Adelie,Dream,41.1,17.5,190,3900,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Adelie,Dream,35.6,17.5,191,3175,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Adelie,Dream,40.2,20.1,200,3975,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Adelie,Dream,37,16.5,185,3400,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Adelie,Dream,39.7,17.9,193,4250,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Adelie,Dream,40.2,17.1,193,3400,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Adelie,Dream,40.6,17.2,187,3475,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Adelie,Dream,32.1,15.5,188,3050,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Adelie,Dream,40.7,17,190,3725,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Adelie,Dream,37.3,16.8,192,3000,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Adelie,Dream,39,18.7,185,3650,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Adelie,Dream,39.2,18.6,190,4250,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Adelie,Dream,36.6,18.4,184,3475,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Adelie,Dream,36,17.8,195,3450,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Adelie,Dream,37.8,18.1,193,3750,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Adelie,Dream,36,17.1,187,3700,female,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Adelie,Dream,41.5,18.5,201,4000,male,2009,40,1,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Gentoo,Biscoe,50,16.3,230,5700,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Gentoo,Biscoe,50,15.2,218,5700,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007,40,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007,40,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Gentoo,Biscoe,49,16.1,216,5550,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Gentoo,Biscoe,42,13.5,210,4150,female,2007,40,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007,50,#N/A,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
